id,first_name,last_name,email,gpa,field_of_study,citizenship_status,academic_level,religious_affiliation,gender,race,first_generation,disability_status,tags
9a8b7c6d-5e4f-3210-fedc-ba9876543210,Priya,Patel,priya.p@email.com,3.8,Biomedical Sciences,U.S. Citizen,Undergraduate,Hinduism,Female,Asian,FALSE,FALSE,"[""STEM"", ""Engineering"", ""Academic Excellence"", ""Leadership""]"
8b7c6d5e-4f32-1098-dcba-9876543210fe,Carlos,Vargas,carlos.v@email.com,2.9,Finance,DACA,High School Senior,Catholic,Male,Hispanic/Latino,TRUE,FALSE,"[""Finance"", ""Business"", ""DACA"", ""Community Leadership"", ""First-Generation""]"
7c6d5e4f-3210-9876-cba9-876543210fed,Aisha,Khan,aisha.k@email.com,3.5,Computer Science,U.S. Citizen,Graduate,Muslim,Female,Asian,FALSE,FALSE,"[""Engineering"", ""STEM"", ""Graduate"", ""Muslim""]"
6d5e4f32-1098-7654-ba98-76543210fedc,Liam,O'Connell,liam.o@email.com,2.6,Civil Engineering,U.S. Citizen,Undergraduate,None,Male,White,TRUE,FALSE,"[""STEM"", ""Engineering"", ""First-Generation"", ""Hands-on Learning""]"
5e4f3210-9876-5432-a987-6543210fedcb,Ji-hoon,Kim,jihoon.k@email.com,3.9,Computer Science,International,Undergraduate,None,Male,Asian,FALSE,FALSE,"[""STEM"", ""Computer Science"", ""International"", ""Research""]"
4f321098-7654-3210-9876-543210fedcba,Maria,Gonzales,maria.g@email.com,2.7,Nursing,U.S. Citizen,Undergraduate,Catholic,Female,Hispanic/Latina,TRUE,FALSE,"[""Healthcare"", ""Nursing"", ""Financial Need"", ""First-Generation""]"
32109876-5432-1098-8765-43210fedcba9,Ethan,Chen,ethan.c@email.com,3.1,Environmental Science,U.S. Citizen,High School Senior,Buddhism,Male,Asian,FALSE,FALSE,"[""STEM"", ""Environmental Science"", ""High School Senior"", ""Buddhism"", ""Community Service""]"
21098765-4321-0987-7654-3210fedcba98,Marcus,Jackson,marcus.j@email.com,2.4,Accounting,U.S. Citizen,High School Senior,None,Male,African American,TRUE,TRUE,"[""Disability"", ""Learning Disability"", ""Financial Need"", ""Accounting"", ""First-Generation""]"
10987654-3210-9876-6543-210fedcba987,Amira,Hassan,amira.h@email.com,3.6,Healthcare,International,Graduate,Muslim,Female,Middle Eastern,FALSE,TRUE,"[""Healthcare"", ""Disability"", ""Physical Therapy"", ""International"", ""Chronic Illness""]"
09876543-2109-8765-5432-10fedcba9876,Chloe,White,chloe.w@email.com,3.2,Nutrition,U.S. Citizen,Graduate,None,Female,White,TRUE,FALSE,"[""Nutrition"", ""Diet"", ""High School Senior"", ""First-Generation""]"
